OI	OI Change	Volume	Chg in LTP	LTP	Strike Price	LTP	Chg in LTP	Volume	OI Change	OI											23178.5	4283	6/16/2026	2026-06-16	https://www.moneycontrol.com/indices/fno/view-option-chain/NIFTY/2026-06-16
1,945,580	768,040	4,412,655	-13.50 (-25.38%)	39.7	23700	524	-58.75 (-10.08%)	141,765	66,300	373,555															
769,015	236,470	1,708,525	-12.85 (-28.00%)	33.05	23750	565	-63.55 (-10.11%)	14,235	4,745	24,700															
2,780,505	1,099,345	5,740,020	-11.55 (-29.69%)	27.35	23800	606.2	-59.10 (-8.88%)	166,920	72,540	326,040															
511,485	164,385	1,594,320	-10.25 (-31.30%)	22.5	23850	660.65	-69.95 (-9.57%)	9,230	1,430	14,625															
1,670,825	644,020	4,028,570	-9.35 (-33.57%)	18.5	23900	706.3	-50.35 (-6.65%)	26,845	8,580	128,115															
371,410	130,390	1,172,600	-8.05 (-34.11%)	15.55	23950	749.3	-38.00 (-4.83%)	6,955	3,315	17,940															
3,875,170	757,575	7,669,415	-7.35 (-36.03%)	13.05	24000	798	-53.10 (-6.24%)	166,075	68,055	416,910															
414,505	139,360	1,340,300	-6.30 (-36.84%)	10.8	24050	846.05	4.10 (0.49%)	260	-	4,810															
1,828,970	894,140	3,606,330	-5.35 (-36.90%)	9.15	24100	907.15	-33.00 (-3.51%)	19,955	15,600	40,690															
356,395	118,495	1,031,030	-4.55 (-36.40%)	7.95	24150	956	-34.00 (-3.43%)	260	65	2,210															
1,863,420	468,650	3,604,835	-3.90 (-35.94%)	6.95	24200	989.5	-46.50 (-4.49%)	13,910	6,435	50,245															
513,175	84,955	1,125,605	-3.30 (-35.29%)	6.05	24250	1,095	15.00 (1.39%)	195	130	325															
1,559,545	381,030	3,660,670	-2.70 (-33.13%)	5.45	24300	1,082.75	-33.95 (-3.04%)	4,030	2,275	26,195															
231,920	70,005	769,405	-2.45 (-33.79%)	4.8	24350	1,129.45	-	-	-	2,925															
1,987,115	1,393,015	3,828,305	-2.05 (-31.78%)	4.4	24400	1,186.95	-38.75 (-3.16%)	20,605	17,095	27,950															
287,560	152,685	810,290	-1.80 (-31.58%)	3.9	24450	1,240	-35.00 (-2.75%)	650	650	780															
3,342,300	1,065,025	4,892,225	-1.65 (-32.04%)	3.5	24500	1,282.50	-45.60 (-3.43%)	26,780	20,800	140,270															
333,580	240,045	814,580	-1.55 (-34.07%)	3	24550	1,280	-	-	-	65															
959,985	199,355	2,194,075	-1.45 (-35.37%)	2.65	24600	1,364.80	-55.95 (-3.94%)	2,340	520	5,395															
162,890	45,500	486,915	-1.50 (-38.96%)	2.35	24650	1,447.80	97.80 (7.24%)	975	975	1,170															
982,670	196,950	2,168,335	-1.30 (-37.68%)	2.15	24700	1,451.75	-86.75 (-5.64%)	975	650	2,990															
126,815	195	340,730	-1.05 (-33.33%)	2.1	24750	1,296.15	-	-	-	65															
1,355,250	590,395	2,709,720	-1.00 (-35.71%)	1.8	24800	1,578.65	-47.95 (-2.95%)	19,955	17,680	43,420															
155,285	92,495	430,690	-0.95 (-36.54%)	1.65	24850	1,459.75	-	-	-	65															
912,080	567,385	2,135,510	-0.75 (-32.61%)	1.55	24900	1,721.85	-18.15 (-1.04%)	975	780	1,755															
146,835	58,890	352,300	-0.80 (-35.56%)	1.45	24950	1,485.15	-	-	-	130															
3,611,075	1,202,825	5,393,960	-0.65 (-32.50%)	1.35	25000	1,787.25	-28.05 (-1.55%)	76,115	79,430	130,000															
475,605	123,370	327,535	-0.70 (-38.89%)	1.1	25050	1,889	358.20 (23.40%)	520	-	65															
1,203,215	91,910	1,536,470	-0.45 (-29.03%)	1.1	25100	1,900	25.00 (1.33%)	130	65	195															
292,240	-1,625	142,675	-0.45 (-30.00%)	1.05	25150	1,640.15	2.35 (0.14%)	-	-	130															
1,036,425	-14,170	537,680	-0.40 (-28.57%)	1	25200	1,960	1.40 (0.07%)	130	-	2,015															
294,645	-9,815	133,575	-0.45 (-33.33%)	0.9	25250	1,729.80	-5.50 (-0.32%)	-	-	65															
213,070	-71,435	268,515	-0.45 (-32.14%)	0.95	25300	2,035	713.00 (53.93%)	260	260	325															
24,570	-9,945	27,300	-0.35 (-26.92%)	0.95	25350	2,110	275.80 (15.04%)	520	-	65															
86,515	-33,930	212,680	-0.35 (-28.00%)	0.9	25400	2,210	30.00 (1.38%)	260	65	910															
15,665	-4,810	13,715	-0.30 (-24.00%)	0.95	25450	1,900	-	-	-	65															
1,200,615	-22,100	1,780,090	-0.30 (-24.00%)	0.95	25500	2,300	-22.85 (-0.98%)	9,425	8,385	15,860															
19,825	-1,235	10,205	-0.25 (-21.74%)	0.9	25550	2,314.25	285.75 (14.09%)	650	455	520															
81,510	10,010	103,220	-0.30 (-25.00%)	0.9	25600	2,360	2.00 (0.08%)	195	65	1,820															
12,285	390	8,645	-0.25 (-22.73%)	0.85	25650	2,410	286.20 (13.48%)	520	-	65															
84,825	65	12,545	-0.25 (-22.73%)	0.85	25700	2,163.95	-9.45 (-0.43%)	-	-	65															
15,925	-1,105	9,620	-0.30 (-27.27%)	0.8	25750	2,212.85	-9.85 (-0.44%)	-	-	65															
123,110	70,395	153,140	-0.25 (-23.81%)	0.8	25800	2,360	-	-	-	260															
28,470	8,580	34,840	-0.25 (-23.81%)	0.8	25850	2,620	300.50 (12.96%)	260	195	260															
145,340	2,080	236,860	-0.20 (-20.00%)	0.8	25900	2,480	-	-	-	195															
10,985	1,690	10,790	-0.05 (-5.26%)	0.9	25950	2,427.45	-6.60 (-0.27%)	-	-	65															
707,785	-91,715	458,445	-0.15 (-15.00%)	0.85	26000	2,755.15	-63.15 (-2.24%)	22,555	27,690	30,160															
9,555	130	6,630	-0.15 (-14.29%)	0.9	26050	2,528.70	-6.25 (-0.25%)	-	-	65															
123,500	9,945	166,920	-0.25 (-25.00%)	0.75	26100	2,577.50	-6.70 (-0.26%)	-	-	65															
